,at,score,thumbsUpCount,content
55,2022-04-20,1,6,셔플기능이 그다지 효율적이지 못해서 짜증남.
56,2022-04-20,5,0,불평함이있음
57,2022-04-20,5,0,편함
58,2022-04-20,5,0,아주 좋음
59,2022-04-20,4,0,굿
60,2022-04-20,1,0,팝이랑 케이팝밖에 안 듣는데 왜 자꾸 중국노래가 추천으로 뜨는지 모르겠네요 싫어요 아무리 눌러도 계속나와요 ㅋㅋㅋㅋㅋㅋㅋ 중국노래 들어본적도 없고 좋아요 눌러본적도 없는데 갑자기 그러네요 이렇게 끼워파셔도 안 들어요^^
61,2022-04-19,5,0,모든게 만족합니다
62,2022-04-19,2,0,갤럭시 제트플립3 접으면 노래가 자꾸끊겨요 한두번아니고 계속요. 커버화면에도 재생중인 노래없음이라뜨고요 오류가넘많네요
63,2022-04-19,1,0,불편하다
64,2022-04-19,1,0,서버에 문제가 발생했습니다
65,2022-04-19,5,0,good!
66,2022-04-19,5,0,좋아요
67,2022-04-19,5,0,와우
68,2022-04-19,4,0,좋네요~~~~ㅎㅎ
69,2022-04-19,5,0,유튜브에선 재생되지만 뮤직에서는 재생되지않는 영상이여럿있어서 쪼금 슬프지만 사용감은 괜찮아용
70,2022-04-19,3,0,노래가자주끊김ㅠ
71,2022-04-18,1,0,계속 끊김. Z 플립3인데 폰이 구려서 그런거임?? 왜 인터넷에 나온 방법들 다 했는데 나만 안되는거임? 프리미엄이라고 돈은 받으면서 계속 끊기면 그냥 광고 보는게 낫지 않음???
72,2022-04-18,5,0,정말 많은 정보 감사드립니다
73,2022-04-18,5,0,너무 좋습니다
74,2022-04-18,5,0,좋아요
75,2022-04-18,1,0,갑자기 안됨
76,2022-04-18,5,0,들었던 음악과 비슷한 음악을 제공해서
77,2022-04-18,4,0,좋아요 누르면 다 보관이 되는데 그게 음악이 아닌것도 보관이 되어가 형편없소
78,2022-04-18,5,0,좋아요
79,2022-04-18,5,0,너무좋아요!!!!!!!!!!!!! 다른음악앱필요없어요
80,2022-04-18,5,0,잘 사용하고 있습니다.
81,2022-04-18,1,0,제생중에 자꾸 꺼지는 이유가 뭐죠 짜증나서 못 쓰겠어요
82,2022-04-18,4,0,좋긴한데 10초전후 버튼이 아쉬움
83,2022-04-18,4,0,가사좀 잘 넣어주세요.ㅠㅠ
84,2022-04-17,1,1,재생목록 오류 좀 고쳐요 180곡 넘어가는데 셔플재생 누르면 열댓 곡만 현재 플레이리스트 들어가잖아ㅡㅡ 기능이 이따위면 굳이 프리미엄 결제하고 쓸 이유가 뭐 있음 대체
85,2022-04-17,5,0,편합니다.
86,2022-04-17,3,0,무한 로딩 빡친다
87,2022-04-17,5,0,최고....
88,2022-04-17,5,0,야한 노래 제일 좋아 해 ㅋㅋ
89,2022-04-17,5,0,좋아요 근데 밝은테마 추가해주세요!!
90,2022-04-17,5,0,굿굿
91,2022-04-17,1,0,플레이리스트 노래계속 짜르근거에요? 매번 오류가뜨네요
92,2022-04-17,1,0,하... 이거 왜 안됌? 나만 안됌?
93,2022-04-17,1,0,위젯 어딨냐?
94,2022-04-17,5,0,잘쓰고있어요
95,2022-04-17,5,0,정말 좋아용!!!!!!!!!!!!
96,2022-04-17,5,0,좋네요 사용하기딱좋아요~~~~~~~깔아보세요 유튜브를본따서만든앱입니다 이앱의좋은점은유튜브를본땃으면서도게임하면서유튜브볼수있다는게좋은점입니다 아무앱하면서유튜브를보고싶다면 이앱을강추드림니다 저의긴글을읽어쥬셔서감사합니다
97,2022-04-17,5,0,이젠 노래를 들을수가 없잖아요!!
98,2022-04-16,5,0,알고리즘 편해요
99,2022-04-16,5,0,기존 음악앱과 달리 음원이 아닌 유튜브 영상으로만 있는 음악도 들을 수 있어서 좋다. 유튜브 프리미엄에 덤으로 딸려오는 느낌이라 기분좋음.
100,2022-04-16,5,0,잘 사용하고 있긴한데 빅스비루틴이 안먹어요
101,2022-04-16,4,0,추천합니다
102,2022-04-16,4,0,오프라인 됐다는 경고가 매번 나오는거 빼곤 괜춘 업데이트해도 계속 뜨네요
103,2022-04-16,5,0,완벽합니다.
104,2022-04-16,5,0,굿
105,2022-04-16,2,0,앱이 늘 꺼지는데 이 오류는 어떻게 해결하나요?
106,2022-04-16,5,0,프리미엄과 함께라면 매우 최고
107,2022-04-16,5,0,이준기♥박세리
108,2022-04-16,5,0,최고입니다
109,2022-04-16,2,0,왜 계속 화면 꺼지면 멈추죠?? 블로그에 있던 방법들 다 해봤는데 안고쳐지네요. 고칠수있는거좀 알려주세요.... ㅡㅡ
110,2022-04-15,3,0,타이머 기능이 필요합니다.
111,2022-04-15,4,0,Sleep 모드 만들어 주세요!!!
112,2022-04-15,1,1,프리미엄 가입자가 전세계 몇천만명일텐데.. 음원 음질 개선이나 볼륨 보정 등 개선좀 해야된다.
113,2022-04-15,2,0,z플립3 왜 자꾸 음악키고 폰덮으면 3초정도뒤에 앱종료되는거임. 설정되있는거없음;
114,2022-04-15,5,0,선곡알고리즘 사랑합니다
115,2022-04-15,5,0,좋아
116,2022-04-15,5,0,좋습니다
117,2022-04-15,1,0,음악 들으면서 인스타하다가 인스타동영상재생되면서 소리 재생 됐다가 다시 유튭뮤직으로 전환되고 나서 음악 끊김 발생. 항상 재설치로 해결중
118,2022-04-15,5,0,좋아요
119,2022-04-15,5,0,프리미엄을 함께 이용시 정말 편하네요~
120,2022-04-14,5,0,핫해핫해
121,2022-04-14,1,0,"쓰레기, 유튜브 프리미엄을 쓰지 않는 이상 쓸 이유가 없는 서비스"
122,2022-04-14,3,49,"1. 음악추천기능에는 만족.(다양성, 곡의 매력 등) 2. ""나만의 플레이리스트""를 구성할 수 있게 하는 기능지원은 매우 미비 - 바이브의 경우 해당기능이 매우 사용자 친화적으로 정리돼있음.(초기화면에서의 접근성, 추가 및 삭제 간편성, 곡 순서 수정) - 이 앱의 경우, 반영구적인 내 플레이리스트는 ""재생목록""만 존재. 기존 유튜브 플랫폼의 재생목록과 무분별하게 공유되고 있어 번잡함을 줄 뿐이고(뉴스등 모든 동영상 재생목록이 공유됨), 내가 현재 듣고 있는 노래를 재생목록에 저장하기 위해선 작은 버튼을 총 3번 찾아 눌러야 하며, 플레이리스트의 핵심인 곡 순서 변경은 ""재생목록 편집""(말로는 쉽지만 앱에서는 연필모양 작은 버튼이라 한참 못찾았던)에 어렵게 들어가 수정을 해야함. 아울러 1곡 삭제에도 시간이 3초 가량 걸리는 부분도 매우 귀찮음. 사용자들이 자동추천 편의성 요구만큼 자신이 좋아하는 음악을 잘 간직하고 싶은 소장욕구도 많다는 점을 기억하길."
123,2022-04-14,5,0,동영상 재생이 안되는 최근 영상이 자주 보이기 시작합니다. 영화 OST 같은 분류요~! 차별점이 확실해야 유튜브 뮤직이 살아남을수 있을텐데
124,2022-04-14,5,0,모든음악이다있음♡
125,2022-04-14,4,0,좋아요
126,2022-04-14,5,0,good
127,2022-04-14,1,0,ㅠㅠ😭 헐쓰 이봐요 이맵 왜만드신건지 ㅠㅠ😭 결제 😑😐
128,2022-04-14,5,0,매우 좋다. 하지만 개인의 사생활은 보호되어야 한다.
129,2022-04-13,5,0,굿
130,2022-04-13,1,0,ui가 너무 구림.
131,2022-04-13,5,0,최고의음악앱입니다. 최애입니다. 제일잘쓰는앱입니다.
132,2022-04-13,5,0,검색하면 다나 옵니다
133,2022-04-13,2,18,노래 끝나면 보통 다음 선곡을 추천해줬는데 업뎃 후로 계속 노래 끊김 원래 안이랬는데 업데이트 다시해라 돈아깝다..
134,2022-04-13,5,0,이거 요즘 왜 실행 안돼고 로딩만 뜨나요
135,2022-04-13,1,0,오프라인 저장 오류 해결 좀요
136,2022-04-13,5,1,"다양한 장르의 풍부한 음원 보유량은 극찬합니다. 그러나 플레이리스크 정렬 방식, 랜덤 재생 패턴 고정은 고질병이네요. 개선 부탁드립니다."
137,2022-04-13,5,0,음악 듣기에 최고의 앱입니다.
138,2022-04-13,5,0,재미있는 것들...♡
139,2022-04-13,1,1,아니 잘되다가 오늘갑자기 뮤직스테이션안되고다음노래안넘어가지는데?
140,2022-04-12,1,1,계속 다음노래로 안넘어가요 ㅡㅡ 오류 좀 빨리 고쳐주세요 이러면 비싼돈 프리미엄내면서 유튜브뮤직을 쓸 이유가 없잖아요 한곡 나오고 끊기고 또 재생하고 계속 반복 이게 뭐하는짓? 가사도 안떠 다음곡으로 재생도 안돼 좋아요도 안눌려 노래 한곡 재생되는거 빼고 전부 먹통 앱을 다시 깔아도 그러고
141,2022-04-12,1,0,뮤직 프리미엄 이중결제 됐으니까 하나는 환불해주세요 두번 넘게 메일 보냈는데 답이 없네요
142,2022-04-12,3,1,오류가 최근에 미침.. 진짜 한곡도 다 못 듣고 끊길때가 많고 다음 곡으로 넘어가는것도 계속 안됨 상태표시줄 내리면 있는 그 공간에 미디어 재생중이면 항상 있어야하는데 있다가 사라지고 다음곡으로 넘어가면 전 곡에서 멈췄다가 사라짐 그리고 상태표시줄로 일시정지나 다음곡 눌러도 죽어도 안감 아니 유튜브 뮤직 쓴지 일년 넘었는데 최근에 오류가 더 심해지는건 뭔지.. 제발 좀 해결 좀 해주시길
143,2022-04-12,1,0,I dont understand how many times i should reset personal setting when i restart the app or choose other tracks... I like listening to certain tracks repeatdly so sometimes i keep it repeating. But when i restart the app or choose other tracks this setting suddenly goes back to what it was like. So i please u to do something about this setting issue. Thank u.
144,2022-04-12,3,0,버그 좀 고쳐주세요 너무 많아요
145,2022-04-12,4,0,좋아요^^
146,2022-04-12,5,0,연관되거나 비슷한 노래들 나오는거 너무 좋음 그리고 없는노래가 없음
147,2022-04-12,5,0,.가.로.모.드. 만들어주세요!!!!!
148,2022-04-12,1,1,보관함 서버에러는 언제 고치실 예정인가요? 503 에러좀 고쳐줘요 몇년째야 이게
149,2022-04-12,5,0,정말 좋아요
150,2022-04-11,5,1,유튜브 프리미엄 유저로서 잘 쓰고 있습니다. 알고리즘 추천 기능도 마음에 들고요. 다만 현재 4.70.50 버전 앱에서 다음 곡으로 자동으로 넘어가는 기능 자체가 작동하지 않으며 곡 이름도 뜨지 않는 등 문제가 있어보입니다. 지금은 구버전 앱 사용중인데 어서 해결되면 좋겠네요.
151,2022-04-11,5,0,다양한노래 가장 중요한 많은곡듵이 있습니다
152,2022-04-11,5,1,버그를 고쳐주세요 재생목록안에서 플레이를 하면 재생목록안에 있는 모든곡이 리스트에 올라가지 않습니다 왜 이렇게 된건지 모르겠는데 엄청 불편해요
153,2022-04-11,1,6,유튜브 미쳤습니까? 뮤직에서 동영상 노래처럼 듣는데 어느 순간부터 끝부분이 뚝 끊기고 다음곡으로 넘어가는 미묘한 기분나쁜 느낌이 들어서 보니까 딱 마지막 1초는 재생 안되고 다음곡으로 휙 넘어가대?? 공식음원은 안그러는데 동영상만 그럼ㅡㅡ 추가::::지금은 음원도 어떤건 뒤에 1초 잘라먹고 어떤건 안그러고 그러네요?ㅡㅡ
154,2022-04-11,5,0,음악 품질이 너무 좋아요
155,2022-04-11,2,0,프리미엄 때문에 겸사겸사 쓰는거지 상황따라 재생 안되는것도 많고 중간에 끊기는거 종종 나오는거 보면 이걸로 스포티파이 절대 못 이긴다.
156,2022-04-11,5,0,최고입니다
157,2022-04-11,1,0,시간이 지날수록 소리가 줄어듬 개미소리만 하게 들려서 원래 음원이 이런가 비교해보면 지니나 플로는 소리 짱짱하게 잘 나옴
158,2022-04-11,4,18,전반적으로 사용하기도 편하고 노래도 전세계적으로 다양하게 들을수 있어서 좋지만 딱 하나 아쉬운 점이 있다면 유튜브 뮤직 알고리즘 시스템이 사용자에 맞는 다양한 노래를 추천해주지 않고 늘 듣던 노래만 추천해서 자동으로 돌려도 늘 듣던노래만 들어서 너무 지루해지네요..;; 이점만 개선해주신다면 음악어플 단연 1등일것 같네요
159,2022-04-11,1,0,기기파일 오류가 심하네요. 재생목록 제목도 수정불가에 제거불가 그리고 재생목록에 곡 추가도 안고... 노래목록에서 재생되는 곡들은 재생은 가능하지만 곡 끝이 짤리고 다음곡으로 넘어가네요.. 오류가 너무 많아요
160,2022-04-11,1,1,최근 몇년간 유튜브뮤직으로 음악을 듣고 있는데 요즘따라 자주 오류가 발생하는거 같애요! 음악 셔플 문제도 그렇고 반복문제도 그렇고 하루빨리 점검하시고 개선이나 조치바랍니다!
161,2022-04-11,5,0,진짜 편하게 쓰고있는 것 같아요
162,2022-04-11,5,0,가사나 노래를 찾을때 어렵긴 하나 괜찮음
163,2022-04-10,1,0,그닥 @유튜부 는 좋아요
164,2022-04-10,5,0,구글은 진짜 생각을 잘한거같음 유튜브 프리미엄에 유튜브 뮤직 이용권까지 포함한다? 누가 안씀 다만 앱이 조금 많이 꾸짐 이겨 4.5 안되나 앱 꾸져서 4.5점 주고싶은데 걍 5점줌 그냥 막무가내로 다 꾸진건 아닌데 버그가 좀 많아요
165,2022-04-10,1,1,계속 끊김
166,2022-04-10,5,0,노래듣기 너무좋네요 아름다움 그자체
167,2022-04-10,1,4,매우 쓰레기 앱 1. 재생목록 셔플하면 곡 일부만 재생되고 나머지는 재생안됨 2. 곡 셔플하고 노래들으면 간헐적으로 셔플 리셋되서 의미없음 3. 재생목록 순서 바꾸는게 매우 불편함 멜론처럼 가나다 순으로 해주면 좋을거같음
168,2022-04-10,5,0,좋습니다..
169,2022-04-10,5,0,아주좋음
170,2022-04-10,1,1,원유아이 4.0 이후 빅스비 루틴으로 해둔 자동 음악재생이 안됨. 가사 지원은 언지까지 이런식인지?
171,2022-04-10,1,1,최근 다음곡으로 넘어가지지 않는 버그가 너무 자주 발생합니다 삭제 후 재설치 하면 잠깐 괜찮다가 또 그래요 빠른 개선 부탁 드립니다
172,2022-04-10,3,1,"재생목록 셔플, 반복재생 불가오류좀 고치면 좋겠습니다."
173,2022-04-10,1,0,한국 인기곡 탑100 재생하면 첫번째 곡만 재생되고 안넘어감 다음트랙 탭 비활성화 다음곡 버튼 비활성화 왜이래여?? 빡치게 돈주고 이게 뭐하는짓인지 얼른 업데이트해주세요 ㅡㅡ
174,2022-04-10,1,1,다음곡안이어지는거빨리고쳐주세요. 계속 삭제하고 다운받아야겠습니까?
175,2022-04-10,5,0,박성기
176,2022-04-10,1,1,재생목록 셔플 좀 고쳐주세요 제발.... 플리에 80곡 있는데 셔플 누르면 그 중에 몇곡만 지가 골라서 틀어요ㅋㅋㅋㅋㅠㅠㅠㅠ
177,2022-04-09,5,0,좋음
178,2022-04-09,5,0,갤럭시 폰에서 노래 플레이 되는 상태에서 전원 켰을때 왼쪽 상단에 날짜 안뜨는부분 수정해 주세요
179,2022-04-09,4,0,유튜브 광고 안볼려고 결재했는데 의외로 괜찮네요. 다만 알고리즘으로 오래 들으면 같은 음악만 나오는건 별로임
180,2022-04-09,4,0,음악추천이 전반적으로 만족스러워요. 음질개선이 된다면 더 좋을 거 같아요.
181,2022-04-09,3,0,그 혹시 궁금한데 한국에선 왜 노래가 안틀어질까요?
182,2022-04-09,1,4,음악에서 동영상으로 바꾸면 뮤비가 그 부분 부터 나오는 게 좋긴한데 음악인 상태에서 전체화면을 누르면 앨범 표지가 잘라고 풀 화면으로 되더라구요... 전체화면으로도 1:1(표지 원본 비율)로도 볼 수 있게 해주세요 🥺🥺🥺🥺
183,2022-04-09,4,0,오프라인 저장해둔 곡 이름이 비행기모드진입후 해제하면 표시되지 않고 시간만 표시 됩니다.
184,2022-04-09,2,0,아니 왜 갑자기 앨범 재생을 못 하고 단일곡만 재생하는지
185,2022-04-09,4,0,가격이 만만치 않지만 그럭저럭 잘쓰고 있습니다.
186,2022-04-09,1,1,얼마전 부터 반복 재생 멈춤현상이 나타나더니 못쓰겠음...재생목록에 한곡반복 전체 반복 둘다 맛이 가버렸음 몇일째 이런데 어디다 말해야 할지도 모르겠고 개 답답하네
187,2022-04-09,1,0,음악이자주끊기고 멈춤 차 블루투스연결시 음악이자동재생됨 설정에서 기능off해도 음악나옴
188,2022-04-09,5,0,정말 유튜브 프리미엄 기능중 최고입니다
189,2022-04-09,1,0,인터넷으로 유튜브 뮤직 결제하고 돈도 빠져나갔는데 앱으로 들어오니 가입이 안됐다고 뜨네요.
190,2022-04-09,5,0,써본 음악앱중 가장 맘에 들었음 강추
191,2022-04-09,2,0,가사가 없는곡들이 좀 있어서 아쉬워요
192,2022-04-09,3,0,듣기 괜찮은정도
193,2022-04-08,5,0,굿
194,2022-04-08,5,0,귀가 즐거운 어플
195,2022-04-08,5,0,세상의모든음악 재방송 좋아요
196,2022-04-08,5,0,젤조음
197,2022-04-08,1,0,오프라인저장한거는 재생목록 못만드나요?? 운동할때 폴더 만들어서 들으면서 걷는데 저장순서로만 되거나 랜덤재생만 되니까 너무 불편해요
198,2022-04-08,1,1,결제해야된다는 애길 쏙 빼고 다 된다는건 뭐죠...? 그냥 유튜브 보고 말지...
199,2022-04-08,3,0,예전부터 잘 쓰고 있는 유저입니다!! 제발 플레이리스트 캡처 사진 인식 생성 기능과 가사 지원 기능 좀 넣어 주세요 진짜 제발... ㅠㅠㅠㅠㅠ
200,2022-04-08,5,0,듣고 싶어하는 노래를 찾으면 다 있어서 좋아요.
201,2022-04-08,3,0,유튜브 창이 안뜨는데 왜 안뜨는지 폰이문젠지 이 앱이 문제인지 잘모르겠어요
202,2022-04-08,5,0,유튜브에서 듣기 좋던 노래들 편하게 들을수잇어서 좋아염
203,2022-04-08,4,0,가사보는게 불편한 것 말곤 딱히 없습니다.
204,2022-04-08,1,0,안이 왜 유튜브 프리미엄들만 돼는거임...?? 나도 뱅드림노래 풀버전 듣고싶다고
205,2022-04-08,4,0,오프라인 저장은 신이야
206,2022-04-08,5,0,제가 사용한 해외 음악 제공 어플 중엔 괜찮은 어플이네요.
207,2022-04-08,5,0,나에게맞는음악이자동으로추천되어서좋아요
208,2022-04-08,1,0,"Tons of bug exist in this version! Especially, sometimes, playing album just plays a single song and stop!"
209,2022-04-07,4,0,Good
210,2022-04-07,5,0,좋아요
211,2022-04-07,5,0,좋아요
212,2022-04-07,5,0,"좋아요, 무료였씀 더 좋을텐대 아쉽네요"
213,2022-04-07,2,0,재생하다말고 계속 꺼짐
214,2022-04-07,1,0,버그 천지
215,2022-04-07,1,2,재생목록 순서도 못바꾸고 일일이 검색추가해야하고 진짜 불편한데도 그래도 참으면서 썼는데 재생목록에서 노래 재생하면 다음노래 뜨지도 않고 넘어가지도 않는건 좀... 유튜브 프리미엄도 그냥 이번달까지만 써야할듯;
216,2022-04-07,5,0,너무 좋아요
217,2022-04-07,5,0,정말 좋아요
218,2022-04-07,3,2,유튜브 프리미엄 쓰는 김에 잘 사용하고 있는데. 왜 자꾸 다음 곡 재생이 안돼서 다시 깔아야 하는지 이해가 안갑니다. 검색해보고 리뷰보니 이런 현상 겪는 사람이 한둘이 아닌데. 빨리 수정해주시면 좋겠네요. 너무 번거롭습니다.
219,2022-04-07,1,2,다음곡 재생이 안되는 오류가 생겼네요 빠른 시일내 수정 부탁드립니다
220,2022-04-07,1,1,다음 트랙 재생안됨. 셔플 안됨. 버그 신속 조치 요망
221,2022-04-07,3,0,곡재생 하고 다음곡 재상이 안되요 다음넘어가기 버튼자체가 활성화가 안되네요 삭제했다가 다시 깔아서 실행 시키니 잘되다가 또안되네요 빨리좀 어떻게 해주세요
222,2022-04-07,5,0,취향에 맞는 음악 추천해줘서 좋아요.
223,2022-04-07,1,0,절대버그고쳐
224,2022-04-07,2,0,다음곡 재생이 안돼요!!
225,2022-04-06,3,0,"최근에 갑자기 트랙재생시 가수 및 제목표기안됨, 앨범단위로 틀어도 다음곡 안넘어감 등 심각한 오류가있습니다. 조치해주세요"
226,2022-04-06,3,0,잘 사용중이었는데 며칠전부터 자동재생 오류 등 매우 불평함을 겪는중입니다. 앱 점검 부탁드립니다.
227,2022-04-06,1,0,"유튜브 뮤직은 참 좋은 앱이다만, 어느 순간부터 갑자기 변태같은게 떠요.. 가슴 사진이 엄청 크게 나온 영상들이 잔뜩 떠요.. 전에 애니 노래를 들었긴 했는데 그런 변태같은건 보지 않았어요. 추천 영상쪽에 자꾸 떠요.. 이상한 영상 추천 좀 그만하세요. 차라리 관심 없음 버튼을 추가해 주시든가.. 그럼 제작자님 제발 좀 고처주세요.. 리뷰 읽어주셔셔 감사합니다."
228,2022-04-06,4,0,신뢰도있는 일본 실시간 차트 보고싶고. 내 플레이리스트 관리 너무 불편함.
229,2022-04-06,2,0,특정 아티스트 추천 안해주는 기능 생겼으면 좋겠다
230,2022-04-06,1,0,멀쩡히잘쓰다가 다음목록 재생이안됨
231,2022-04-06,5,0,연주곡올린음악에+굿
232,2022-04-06,5,1,유튭 프리미엄 연동으로 편리 / 팝송 등 해외 노래 듣기엔 최고. 멜론(따위)은 비교 불가
233,2022-04-06,3,0,갤럭시s22울트라에서 배터리 오류가 많다고 나오네요.. 빅스비로 음악재생하면 그런 것 같기도 하고..
